address,city,state,postal_code,price,facts and features,real estate provider,url,title,property_info,img,zestimate,daysOnZillow,rentZestimate,lat,long
"2671 Bedford Rd, Ann Arbor, MI 48104",Ann Arbor,MI,48104,1095000.0,"3 bds, 3.0 ba ,2883 sqft",Reinhart Realtors,https://www.zillow.com/homedetails/2671-Bedford-Rd-Ann-Arbor-MI-48104/24709653_zpid/,House for sale,"{'zpid': 24709653, 'streetAddress': '2671 Bedford Rd', 'zipcode': '48104', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.262878, 'longitude': -83.70838, 'price': 1095000.0, 'dateSold': 1568271600000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2883.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 38, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7ui0mykrwfj30000000000.jpg', 'daysOnZillow': 58, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 5653, 'zestimate': 1084874, 'rentZestimate': 3000, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 2-4pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7ui0mykrwfj30000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1095000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598216400000, 'open_house_end': 1598223600000}]}, 'timeOnZillow': 1592949660000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7ui0mykrwfj30000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7ui0mykrwfj30000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7ui0mykrwfj30000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7ui0mykrwfj30000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7ui0mykrwfj30000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7ui0mykrwfj30000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 627000.0}",https://photos.zillowstatic.com/p_e/IS7ui0mykrwfj30000000000.jpg,1084874.0,58,3000.0,42.262878,-83.70838
"2545 N Madrono Ct, Ann Arbor, MI 48103",Ann Arbor,MI,48103,251500.0,"3 bds, 2.0 ba ,1412 sqft",Reinhart Realtors,https://www.zillow.com/homedetails/2545-N-Madrono-Ct-Ann-Arbor-MI-48103/24727569_zpid/,House for sale,"{'zpid': 24727569, 'streetAddress': '2545 N Madrono Ct', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.247196, 'longitude': -83.874393, 'price': 251500.0, 'dateSold': 1262160000000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1412.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 37, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISzv2rm88fhn6d0000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 5653, 'zestimate': 251500, 'rentZestimate': 1850, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISzv2rm88fhn6d0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 251500.0, 'timeOnZillow': 1597744860000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISzv2rm88fhn6d0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISzv2rm88fhn6d0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISzv2rm88fhn6d0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISzv2rm88fhn6d0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISzv2rm88fhn6d0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISzv2rm88fhn6d0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 188000.0}",https://photos.zillowstatic.com/p_e/ISzv2rm88fhn6d0000000000.jpg,251500.0,2,1850.0,42.247196,-83.874393
"1684 Warren Rd, Ann Arbor, MI 48105",Ann Arbor,MI,48105,340000.0,"3 bds, 2.0 ba ,2168 sqft",Keller Williams Ann Arbor,https://www.zillow.com/homedetails/1684-Warren-Rd-Ann-Arbor-MI-48105/24691995_zpid/,House for sale,"{'zpid': 24691995, 'streetAddress': '1684 Warren Rd', 'zipcode': '48105', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.330421, 'longitude': -83.730478, 'price': 340000.0, 'dateSold': 1467183600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2168.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjvzrnem3nd8h1000000000.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 340000, 'rentZestimate': 2200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjvzrnem3nd8h1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 340000.0, 'timeOnZillow': 1597438680000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjvzrnem3nd8h1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjvzrnem3nd8h1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjvzrnem3nd8h1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjvzrnem3nd8h1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjvzrnem3nd8h1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjvzrnem3nd8h1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 239520.0}",https://photos.zillowstatic.com/p_e/ISjvzrnem3nd8h1000000000.jpg,340000.0,6,2200.0,42.330421,-83.730478
"550 Burswood Ct, Ann Arbor, MI 48103",Ann Arbor,MI,48103,525000.0,"4 bds, 4.0 ba ,2398 sqft",Coldwell Banker Weir Manuel-AA,https://www.zillow.com/homedetails/550-Burswood-Ct-Ann-Arbor-MI-48103/54800638_zpid/,House for sale,"{'zpid': 54800638, 'streetAddress': '550 Burswood Ct', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.279077, 'longitude': -83.832891, 'price': 525000.0, 'dateSold': 994662000000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2398.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 53, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISb9td0yirovqn1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 525000, 'rentZestimate': 2750, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISb9td0yirovqn1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 525000.0, 'timeOnZillow': 1597780860000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISb9td0yirovqn1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISb9td0yirovqn1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISb9td0yirovqn1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISb9td0yirovqn1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISb9td0yirovqn1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISb9td0yirovqn1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 509200.0}",https://photos.zillowstatic.com/p_e/ISb9td0yirovqn1000000000.jpg,525000.0,2,2750.0,42.279077,-83.832891
"2163 Pauline Ct, Ann Arbor, MI 48103",Ann Arbor,MI,48103,269900.0,"3 bds, 3.0 ba ,1652 sqft",Real Estate One,https://www.zillow.com/homedetails/2163-Pauline-Ct-Ann-Arbor-MI-48103/24704812_zpid/,Condo for sale,"{'zpid': 24704812, 'streetAddress': '2163 Pauline Ct', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.266589, 'longitude': -83.775756, 'price': 269900.0, 'dateSold': 1052118000000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1652.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 59, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv8yomtppxgc71000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 269901, 'rentZestimate': 1625, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv8yomtppxgc71000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 269900.0, 'timeOnZillow': 1597773780000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv8yomtppxgc71000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv8yomtppxgc71000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv8yomtppxgc71000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv8yomtppxgc71000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv8yomtppxgc71000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv8yomtppxgc71000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 200400.0}",https://photos.zillowstatic.com/p_e/ISv8yomtppxgc71000000000.jpg,269901.0,2,1625.0,42.266589,-83.775756
"670 Florence St, Ann Arbor, MI 48103",Ann Arbor,MI,48103,575000.0,"4 bds, 3.0 ba ,3367 sqft",Keller Williams Ann Arbor,https://www.zillow.com/homedetails/670-Florence-St-Ann-Arbor-MI-48103/24690070_zpid/,House for sale,"{'zpid': 24690070, 'streetAddress': '670 Florence St', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.294891, 'longitude': -83.831993, 'price': 575000.0, 'dateSold': 913708800000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 3367.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 48, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISj7t295yqrbsh0000000000.jpg', 'daysOnZillow': 8, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 571297, 'rentZestimate': 2950, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISj7t295yqrbsh0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 575000.0, 'timeOnZillow': 1597267380000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISj7t295yqrbsh0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISj7t295yqrbsh0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISj7t295yqrbsh0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISj7t295yqrbsh0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISj7t295yqrbsh0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISj7t295yqrbsh0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 524000.0}",https://photos.zillowstatic.com/p_e/ISj7t295yqrbsh0000000000.jpg,571297.0,8,2950.0,42.294891,-83.831993
"1010 Baldwin Ave, Ann Arbor, MI 48104",Ann Arbor,MI,48104,785000.0,"4 bds, 4.0 ba ,2257 sqft",Reinhart Realtors,https://www.zillow.com/homedetails/1010-Baldwin-Ave-Ann-Arbor-MI-48104/89557165_zpid/,House for sale,"{'zpid': 89557165, 'streetAddress': '1010 Baldwin Ave', 'zipcode': '48104', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.27036, 'longitude': -83.727359, 'price': 785000.0, 'dateSold': 1374130800000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2257.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 50, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISny80oec6th4l1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 5653, 'zestimate': 785007, 'rentZestimate': 2587, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISny80oec6th4l1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 785000.0, 'timeOnZillow': 1597788060000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISny80oec6th4l1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISny80oec6th4l1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISny80oec6th4l1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISny80oec6th4l1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISny80oec6th4l1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISny80oec6th4l1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 807000.0}",https://photos.zillowstatic.com/p_e/ISny80oec6th4l1000000000.jpg,785007.0,2,2587.0,42.27036,-83.727359
"1961 Coronada Dr, Ann Arbor, MI 48103",Ann Arbor,MI,48103,300000.0,"3 bds, 2.0 ba ,1472 sqft",Coldwell Banker Weir Manuel,https://www.zillow.com/homedetails/1961-Coronada-Dr-Ann-Arbor-MI-48103/24704765_zpid/,House for sale,"{'zpid': 24704765, 'streetAddress': '1961 Coronada Dr', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.26394, 'longitude': -83.773534, 'price': 300000.0, 'dateSold': 1297670400000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1472.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISny4xem0e029e1000000000.jpg', 'daysOnZillow': 52, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13899, 'zestimate': 300001, 'rentZestimate': 2000, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISny4xem0e029e1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 300000.0, 'timeOnZillow': 1593443880000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISny4xem0e029e1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISny4xem0e029e1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISny4xem0e029e1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISny4xem0e029e1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISny4xem0e029e1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISny4xem0e029e1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 275800.0}",https://photos.zillowstatic.com/p_e/ISny4xem0e029e1000000000.jpg,300001.0,52,2000.0,42.26394,-83.773534
"18 Jay Lee Ct, Ann Arbor, MI 48108",Ann Arbor,MI,48108,174900.0,"4 bds, 1.0 ba ,1008 sqft",RE/MAX Platinum,https://www.zillow.com/homedetails/18-Jay-Lee-Ct-Ann-Arbor-MI-48108/24722537_zpid/,House for sale,"{'zpid': 24722537, 'streetAddress': '18 Jay Lee Ct', 'zipcode': '48108', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.232283, 'longitude': -83.716712, 'price': 174900.0, 'bathrooms': 1.0, 'bedrooms': 4.0, 'livingArea': 1008.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 31, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv8ikcua4zlmr1000000000.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 16996, 'zestimate': 174901, 'rentZestimate': 1600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv8ikcua4zlmr1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 174900.0, 'timeOnZillow': 1597389540000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv8ikcua4zlmr1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv8ikcua4zlmr1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv8ikcua4zlmr1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv8ikcua4zlmr1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv8ikcua4zlmr1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv8ikcua4zlmr1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 103200.0}",https://photos.zillowstatic.com/p_e/ISv8ikcua4zlmr1000000000.jpg,174901.0,6,1600.0,42.232283,-83.716712
"2380 Gale Rd, Ann Arbor, MI 48105",Ann Arbor,MI,48105,799000.0,"4 bds, 4.0 ba ,2500 sqft",ClaudellaJones.com,https://www.zillow.com/homedetails/2380-Gale-Rd-Ann-Arbor-MI-48105/54803226_zpid/,House for sale,"{'zpid': 54803226, 'streetAddress': '2380 Gale Rd', 'zipcode': '48105', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.285702, 'longitude': -83.651589, 'price': 799000.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2500.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 63, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrxa4xnbfvapo0000000000.jpg', 'daysOnZillow': 1, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13899, 'zestimate': 833000, 'rentZestimate': 3619, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrxa4xnbfvapo0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 799000.0, 'timeOnZillow': 1597843740000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrxa4xnbfvapo0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrxa4xnbfvapo0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrxa4xnbfvapo0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrxa4xnbfvapo0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrxa4xnbfvapo0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrxa4xnbfvapo0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 516400.0}",https://photos.zillowstatic.com/p_e/ISrxa4xnbfvapo0000000000.jpg,833000.0,1,3619.0,42.285702,-83.651589
