address,city,state,postal_code,price,facts and features,real estate provider,url,title,property_info,img,zestimate,daysOnZillow,rentZestimate,lat,long,saves,views
"1684 Warren Rd, Ann Arbor, MI 48105",Ann Arbor,MI,48105,340000.0,"3 bds, 2.0 ba ,2168 sqft",Keller Williams Ann Arbor,https://www.zillow.com/homedetails/1684-Warren-Rd-Ann-Arbor-MI-48105/24691995_zpid/,House for sale,"{'zpid': 24691995, 'streetAddress': '1684 Warren Rd', 'zipcode': '48105', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.330421, 'longitude': -83.730478, 'price': 340000.0, 'dateSold': 1467183600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2168.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjvzrnem3nd8h1000000000.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 340000, 'rentZestimate': 2200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjvzrnem3nd8h1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 340000.0, 'timeOnZillow': 1597438680000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjvzrnem3nd8h1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjvzrnem3nd8h1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjvzrnem3nd8h1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjvzrnem3nd8h1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjvzrnem3nd8h1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjvzrnem3nd8h1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 239520.0}",https://photos.zillowstatic.com/p_e/ISjvzrnem3nd8h1000000000.jpg,340000.0,6,2200.0,42.330421,-83.730478,151,"3,254"
"550 Burswood Ct, Ann Arbor, MI 48103",Ann Arbor,MI,48103,525000.0,"4 bds, 4.0 ba ,2398 sqft",Coldwell Banker Weir Manuel-AA,https://www.zillow.com/homedetails/550-Burswood-Ct-Ann-Arbor-MI-48103/54800638_zpid/,House for sale,"{'zpid': 54800638, 'streetAddress': '550 Burswood Ct', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.279077, 'longitude': -83.832891, 'price': 525000.0, 'dateSold': 994662000000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2398.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 53, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISb9td0yirovqn1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 525000, 'rentZestimate': 2750, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISb9td0yirovqn1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 525000.0, 'timeOnZillow': 1597780860000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISb9td0yirovqn1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISb9td0yirovqn1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISb9td0yirovqn1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISb9td0yirovqn1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISb9td0yirovqn1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISb9td0yirovqn1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 509200.0}",https://photos.zillowstatic.com/p_e/ISb9td0yirovqn1000000000.jpg,525000.0,2,2750.0,42.279077,-83.832891,31,723
"2877 Deake Ave, Ann Arbor, MI 48108",Ann Arbor,MI,48108,325000.0,"4 bds, 2.0 ba ,1742 sqft",RE/MAX Home Sale Services,https://www.zillow.com/homedetails/2877-Deake-Ave-Ann-Arbor-MI-48108/24716244_zpid/,House for sale,"{'zpid': 24716244, 'streetAddress': '2877 Deake Ave', 'zipcode': '48108', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.245761, 'longitude': -83.6673, 'price': 325000.0, 'dateSold': 1394780400000, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1742.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 40, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISbxb01gms1icl1000000000.jpg', 'daysOnZillow': 1, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 302046, 'rentZestimate': 2100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISbxb01gms1icl1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 325000.0, 'timeOnZillow': 1597845540000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISbxb01gms1icl1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISbxb01gms1icl1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISbxb01gms1icl1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISbxb01gms1icl1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISbxb01gms1icl1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISbxb01gms1icl1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 261600.0}",https://photos.zillowstatic.com/p_e/ISbxb01gms1icl1000000000.jpg,302046.0,1,2100.0,42.245761,-83.6673,25,600
"5867 Versailles Ave, Ann Arbor, MI 48103",Ann Arbor,MI,48103,409000.0,"4 bds, 4.0 ba ,1728 sqft",Howard Hanna - Ann Arbor,https://www.zillow.com/homedetails/5867-Versailles-Ave-Ann-Arbor-MI-48103/54800968_zpid/,House for sale,"{'zpid': 54800968, 'streetAddress': '5867 Versailles Ave', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.278949, 'longitude': -83.845772, 'price': 409000.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 1728.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 74, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrtft0y40pdgm1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 10928, 'zestimate': 409002, 'rentZestimate': 2200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrtft0y40pdgm1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 409000.0, 'timeOnZillow': 1597773000000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrtft0y40pdgm1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrtft0y40pdgm1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrtft0y40pdgm1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrtft0y40pdgm1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrtft0y40pdgm1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrtft0y40pdgm1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 302200.0}",https://photos.zillowstatic.com/p_e/ISrtft0y40pdgm1000000000.jpg,409002.0,2,2200.0,42.278949,-83.845772,21,593
"3710 Frains Lake Rd, Ann Arbor, MI 48105",Ann Arbor,MI,48105,440000.0,"4 bds, 2.0 ba ,2622 sqft",RE/MAX Dream Properties,https://www.zillow.com/homedetails/3710-Frains-Lake-Rd-Ann-Arbor-MI-48105/54802610_zpid/,House for sale,"{'zpid': 54802610, 'streetAddress': '3710 Frains Lake Rd', 'zipcode': '48105', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.325181, 'longitude': -83.614753, 'price': 440000.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 2622.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 85, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrll47ozxgjdz0000000000.jpg', 'daysOnZillow': 13, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 435344, 'rentZestimate': 2245, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrll47ozxgjdz0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 440000.0, 'timeOnZillow': 1596773100000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrll47ozxgjdz0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrll47ozxgjdz0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrll47ozxgjdz0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrll47ozxgjdz0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrll47ozxgjdz0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrll47ozxgjdz0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 275800.0}",https://photos.zillowstatic.com/p_e/ISrll47ozxgjdz0000000000.jpg,435344.0,13,2245.0,42.325181,-83.61475300000001,155,"4,149"
"1424 Creal Cres, Ann Arbor, MI 48103",Ann Arbor,MI,48103,399900.0,"4 bds, 3.0 ba ,1248 sqft",Coldwell Banker Weir Manuel,https://www.zillow.com/homedetails/1424-Creal-Cres-Ann-Arbor-MI-48103/2078210466_zpid/,House for sale,"{'zpid': 2078210466, 'streetAddress': '1424 Creal Cres', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.294178, 'longitude': -83.773528, 'price': 399900.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1248.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 42, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7mksyxm3z9f31000000000.jpg', 'daysOnZillow': 3, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13899, 'zestimate': 399902, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7mksyxm3z9f31000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 399900.0, 'timeOnZillow': 1597701060000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7mksyxm3z9f31000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7mksyxm3z9f31000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7mksyxm3z9f31000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7mksyxm3z9f31000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7mksyxm3z9f31000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7mksyxm3z9f31000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}",https://photos.zillowstatic.com/p_e/IS7mksyxm3z9f31000000000.jpg,399902.0,3,,42.294178,-83.773528,43,"1,125"
"160 Westover St, Ann Arbor, MI 48103",Ann Arbor,MI,48103,309000.0,"3 bds, 3.0 ba ,1374 sqft",ClaudellaJones.com,https://www.zillow.com/homedetails/160-Westover-St-Ann-Arbor-MI-48103/2078340292_zpid/,House for sale,"{'zpid': 2078340292, 'streetAddress': '160 Westover St', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.283322, 'longitude': -83.798638, 'price': 309000.0, 'datePriceChanged': 1597770120000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1374.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 33, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7u20fchd6e1k0000000000.jpg', 'daysOnZillow': 9, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13899, 'zestimate': 309000, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1am-3pm', 'priceReduction': '$10,000 (Aug 18)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7u20fchd6e1k0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 309000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598169600000, 'open_house_end': 1598220000000}]}, 'priceChange': -10000, 'timeOnZillow': 1597130820000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7u20fchd6e1k0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7u20fchd6e1k0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7u20fchd6e1k0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7u20fchd6e1k0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7u20fchd6e1k0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7u20fchd6e1k0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}",https://photos.zillowstatic.com/p_e/IS7u20fchd6e1k0000000000.jpg,309000.0,9,,42.283322,-83.798638,49,"2,375"
"2361 Rockport Ct, Ann Arbor, MI 48103",Ann Arbor,MI,48103,395000.0,"4 bds, 3.0 ba ,2001 sqft",Keller Williams Ann Arbor,https://www.zillow.com/homedetails/2361-Rockport-Ct-Ann-Arbor-MI-48103/24720182_zpid/,House for sale,"{'zpid': 24720182, 'streetAddress': '2361 Rockport Ct', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.244612, 'longitude': -83.776629, 'price': 395000.0, 'dateSold': 1492153200000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2001.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 49, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS7ear4n19iet40000000000.jpg', 'daysOnZillow': 15, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 395003, 'rentZestimate': 2350, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS7ear4n19iet40000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 395000.0, 'timeOnZillow': 1596640980000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS7ear4n19iet40000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS7ear4n19iet40000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS7ear4n19iet40000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS7ear4n19iet40000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS7ear4n19iet40000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS7ear4n19iet40000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 337400.0}",https://photos.zillowstatic.com/p_e/IS7ear4n19iet40000000000.jpg,395003.0,15,2350.0,42.244612,-83.776629,160,"3,281"
"402 Hiscock St, Ann Arbor, MI 48103",Ann Arbor,MI,48103,479900.0,"4 bds, 3.0 ba ,1614 sqft",,https://www.zillow.com/homedetails/402-Hiscock-St-Ann-Arbor-MI-48103/24697598_zpid/,For sale by owner,"{'zpid': 24697598, 'streetAddress': '402 Hiscock St', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.28765, 'longitude': -83.75162, 'price': 479900.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1614.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 11, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS-ftrs4lga06zh.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'zestimate': 512746, 'rentZestimate': 2175, 'listing_sub_type': {'is_FSBO': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS-ftrs4lga06zh.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 479900.0, 'timeOnZillow': 1597435440000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS-ftrs4lga06zh.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS-ftrs4lga06zh.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS-ftrs4lga06zh.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS-ftrs4lga06zh.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS-ftrs4lga06zh.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS-ftrs4lga06zh.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 353400.0}",https://photos.zillowstatic.com/p_e/IS-ftrs4lga06zh.jpg,512746.0,6,2175.0,42.28765,-83.75161999999999,34,"1,682"
"3601 Elizabeth Rd, Ann Arbor, MI 48103",Ann Arbor,MI,48103,315000.0,"3 bds, 2.0 ba ,1159 sqft",Howard Hanna - Ann Arbor,https://www.zillow.com/homedetails/3601-Elizabeth-Rd-Ann-Arbor-MI-48103/24690107_zpid/,House for sale,"{'zpid': 24690107, 'streetAddress': '3601 Elizabeth Rd', 'zipcode': '48103', 'city': 'Ann Arbor', 'state': 'MI', 'latitude': 42.290108, 'longitude': -83.801887, 'price': 315000.0, 'dateSold': 888998400000, 'datePriceChanged': 1597783740000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1159.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 33, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISb918xp4pi2dm1000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 10928, 'zestimate': 315001, 'rentZestimate': 1800, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 2-4pm', 'priceReduction': '$14,900 (Aug 18)', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISb918xp4pi2dm1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 315000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598216400000, 'open_house_end': 1598223600000}]}, 'priceChange': -14900, 'timeOnZillow': 1597303380000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISb918xp4pi2dm1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISb918xp4pi2dm1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISb918xp4pi2dm1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISb918xp4pi2dm1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISb918xp4pi2dm1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISb918xp4pi2dm1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 221400.0}",https://photos.zillowstatic.com/p_e/ISb918xp4pi2dm1000000000.jpg,315001.0,7,1800.0,42.290108000000004,-83.801887,55,"1,205"
