address,city,state,postal_code,price,facts and features,real estate provider,url,title,property_info,img,zestimate,daysOnZillow,rentZestimate,lat,long
"25827 Strath Haven Dr, Novi, MI 48374",Novi,MI,48374,370000.0,"4 bds, 3.0 ba ,2577 sqft",Coldwell Banker Weir Manuel-Northville,https://www.zillow.com/homedetails/25827-Strath-Haven-Dr-Novi-MI-48374/70865648_zpid/,House for sale,"{'zpid': 70865648, 'streetAddress': '25827 Strath Haven Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.477219, 'longitude': -83.514047, 'price': 370000.0, 'dateSold': 1386230400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2577.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 31, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISfkcbpo171zgt1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 370002, 'rentZestimate': 2500, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISfkcbpo171zgt1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 370000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598212800000, 'open_house_end': 1598220000000}]}, 'timeOnZillow': 1597753020000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISfkcbpo171zgt1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISfkcbpo171zgt1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISfkcbpo171zgt1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISfkcbpo171zgt1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISfkcbpo171zgt1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISfkcbpo171zgt1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 286400.0}",https://photos.zillowstatic.com/p_e/ISfkcbpo171zgt1000000000.jpg,370002,2,2500.0,42.477219,-83.514047
"24548 Knollwood St, Novi, MI 48375",Novi,MI,48375,259900.0,"3 bds, 2.0 ba ,1324 sqft",Encore Real Estate Group,https://www.zillow.com/homedetails/24548-Knollwood-St-Novi-MI-48375/24548698_zpid/,House for sale,"{'zpid': 24548698, 'streetAddress': '24548 Knollwood St', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.470431, 'longitude': -83.463173, 'price': 259900.0, 'dateSold': 1408950000000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1324.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 36, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjnpu8ipgheff1000000000.jpg', 'daysOnZillow': 14, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 260291, 'rentZestimate': 1800, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjnpu8ipgheff1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 259900.0, 'timeOnZillow': 1596761760000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjnpu8ipgheff1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjnpu8ipgheff1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjnpu8ipgheff1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjnpu8ipgheff1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjnpu8ipgheff1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjnpu8ipgheff1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 233700.0}",https://photos.zillowstatic.com/p_e/ISjnpu8ipgheff1000000000.jpg,260291,14,1800.0,42.470431,-83.463173
"29398 Weston Dr, Novi, MI 48377",Novi,MI,48377,272000.0,"3 bds, 3.0 ba ,1633 sqft",Real Estate One,https://www.zillow.com/homedetails/29398-Weston-Dr-Novi-MI-48377/61786458_zpid/,Condo for sale,"{'zpid': 61786458, 'streetAddress': '29398 Weston Dr', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.509231, 'longitude': -83.459446, 'price': 272000.0, 'dateSold': 1383030000000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1633.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 35, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS3ny4pz58u9h81000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 266867, 'rentZestimate': 2000, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS3ny4pz58u9h81000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 272000.0, 'timeOnZillow': 1597773780000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS3ny4pz58u9h81000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS3ny4pz58u9h81000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS3ny4pz58u9h81000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS3ny4pz58u9h81000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS3ny4pz58u9h81000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS3ny4pz58u9h81000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 258900.0}",https://photos.zillowstatic.com/p_e/IS3ny4pz58u9h81000000000.jpg,266867,2,2000.0,42.509231,-83.459446
"23628 Valley Starr, Novi, MI 48375",Novi,MI,48375,260000.0,"3 bds, 2.0 ba ,1418 sqft",Real Estate One,https://www.zillow.com/homedetails/23628-Valley-Starr-Novi-MI-48375/24550068_zpid/,House for sale,"{'zpid': 24550068, 'streetAddress': '23628 Valley Starr', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.464099, 'longitude': -83.443732, 'price': 260000.0, 'dateSold': 1532415600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1418.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 15, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS3zfmnffygpdf1000000000.jpg', 'daysOnZillow': 19, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 264874, 'rentZestimate': 1675, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS3zfmnffygpdf1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 260000.0, 'timeOnZillow': 1596304980000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS3zfmnffygpdf1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS3zfmnffygpdf1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS3zfmnffygpdf1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS3zfmnffygpdf1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS3zfmnffygpdf1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS3zfmnffygpdf1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 204200.0}",https://photos.zillowstatic.com/p_e/IS3zfmnffygpdf1000000000.jpg,264874,19,1675.0,42.464099,-83.443732
"50739 Sevilla Cir, Novi, MI 48374",Novi,MI,48374,550000.0,"4 bds, 3.0 ba ,2986 sqft",Max Broock,https://www.zillow.com/homedetails/50739-Sevilla-Cir-Novi-MI-48374/303956323_zpid/,House for sale,"{'zpid': 303956323, 'streetAddress': '50739 Sevilla Cir', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.487245, 'longitude': -83.548595, 'price': 550000.0, 'dateSold': 1568185200000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2986.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 30, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISf4gbnkdz3xi91000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 550003, 'rentZestimate': 2750, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISf4gbnkdz3xi91000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 550000.0, 'timeOnZillow': 1597773780000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISf4gbnkdz3xi91000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISf4gbnkdz3xi91000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISf4gbnkdz3xi91000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISf4gbnkdz3xi91000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISf4gbnkdz3xi91000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISf4gbnkdz3xi91000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 482500.0}",https://photos.zillowstatic.com/p_e/ISf4gbnkdz3xi91000000000.jpg,550003,2,2750.0,42.487245,-83.548595
"23633 Hickory Grove Ln, Novi, MI 48375",Novi,MI,48375,410000.0,"4 bds, 4.0 ba ,2440 sqft",Century 21 Curran & Oberski,https://www.zillow.com/homedetails/23633-Hickory-Grove-Ln-Novi-MI-48375/24551904_zpid/,House for sale,"{'zpid': 24551904, 'streetAddress': '23633 Hickory Grove Ln', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.462879, 'longitude': -83.484187, 'price': 410000.0, 'dateSold': 1052895600000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2440.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 25, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS3jzembfsbqzx0000000000.jpg', 'daysOnZillow': 4, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 405066, 'rentZestimate': 2500, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS3jzembfsbqzx0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 410000.0, 'timeOnZillow': 1597616040000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS3jzembfsbqzx0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS3jzembfsbqzx0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS3jzembfsbqzx0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS3jzembfsbqzx0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS3jzembfsbqzx0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS3jzembfsbqzx0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 364400.0}",https://photos.zillowstatic.com/p_e/IS3jzembfsbqzx0000000000.jpg,405066,4,2500.0,42.462879,-83.484187
"31066 Bancroft Dr, Novi, MI 48377",Novi,MI,48377,489900.0,"4 bds, 4.0 ba ,2733 sqft",RE/MAX Classic,https://www.zillow.com/homedetails/31066-Bancroft-Dr-Novi-MI-48377/70873999_zpid/,House for sale,"{'zpid': 70873999, 'streetAddress': '31066 Bancroft Dr', 'zipcode': '48377', 'city': 'Novi', 'state': 'MI', 'latitude': 42.523303, 'longitude': -83.492342, 'price': 489900.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2733.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 33, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrtft4xu0lpi21000000000.jpg', 'daysOnZillow': 16, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 482287, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrtft4xu0lpi21000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 489900.0, 'timeOnZillow': 1596512940000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrtft4xu0lpi21000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrtft4xu0lpi21000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrtft4xu0lpi21000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrtft4xu0lpi21000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrtft4xu0lpi21000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrtft4xu0lpi21000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 404400.0}",https://photos.zillowstatic.com/p_e/ISrtft4xu0lpi21000000000.jpg,482287,16,2600.0,42.523303,-83.492342
"22134 Clover Ln, Novi, MI 48375",Novi,MI,48375,349900.0,"4 bds, 3.0 ba ,2300 sqft",Century 21 Town & Country,https://www.zillow.com/homedetails/22134-Clover-Ln-Novi-MI-48375/24556063_zpid/,House for sale,"{'zpid': 24556063, 'streetAddress': '22134 Clover Ln', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.450265, 'longitude': -83.447226, 'price': 349900.0, 'dateSold': 1085468400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2300.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 29, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv4fz68u0sk3t1000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 349619, 'rentZestimate': 2299, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 1-4pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv4fz68u0sk3t1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 349900.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598126400000, 'open_house_end': 1598137200000}]}, 'timeOnZillow': 1597338900000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv4fz68u0sk3t1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv4fz68u0sk3t1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv4fz68u0sk3t1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv4fz68u0sk3t1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv4fz68u0sk3t1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv4fz68u0sk3t1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 291100.0}",https://photos.zillowstatic.com/p_e/ISv4fz68u0sk3t1000000000.jpg,349619,7,2299.0,42.450265,-83.447226
"24321 Fairway Hills Dr, Novi, MI 48374",Novi,MI,48374,329900.0,"3 bds, 2.0 ba ,1720 sqft",Professional One Real Estate,https://www.zillow.com/homedetails/24321-Fairway-Hills-Dr-Novi-MI-48374/24547700_zpid/,House for sale,"{'zpid': 24547700, 'streetAddress': '24321 Fairway Hills Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.4669, 'longitude': -83.502118, 'price': 329900.0, 'dateSold': 1375945200000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1720.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISj711pup7vjm40000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 329814, 'rentZestimate': 2100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISj711pup7vjm40000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 329900.0, 'timeOnZillow': 1597348560000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISj711pup7vjm40000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISj711pup7vjm40000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISj711pup7vjm40000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISj711pup7vjm40000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISj711pup7vjm40000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISj711pup7vjm40000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 229600.0}",https://photos.zillowstatic.com/p_e/ISj711pup7vjm40000000000.jpg,329814,7,2100.0,42.4669,-83.502118
"51128 E Bourne Ter, Novi, MI 48374",Novi,MI,48374,369900.0,"3 bds, 3.0 ba ,2208 sqft",RE/MAX Classic,https://www.zillow.com/homedetails/51128-E-Bourne-Ter-Novi-MI-48374/80175973_zpid/,House for sale,"{'zpid': 80175973, 'streetAddress': '51128 E Bourne Ter', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.493073, 'longitude': -83.550988, 'price': 369900.0, 'dateSold': 1507215600000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2208.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 28, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv4fjmhrb2n501000000000.jpg', 'daysOnZillow': 15, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 365468, 'rentZestimate': 2450, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv4fjmhrb2n501000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 369900.0, 'timeOnZillow': 1596657480000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv4fjmhrb2n501000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv4fjmhrb2n501000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv4fjmhrb2n501000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv4fjmhrb2n501000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv4fjmhrb2n501000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv4fjmhrb2n501000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 301800.0}",https://photos.zillowstatic.com/p_e/ISv4fjmhrb2n501000000000.jpg,365468,15,2450.0,42.493073,-83.550988
